title,author,rating,voters,price,currency,description,publisher,page_count,language,published_date,genre,ISBN_13
Heaven'S Keep,William Kent Krueger,4.0,17.0,,,"Receiving Evidence That A Plane Crash That Killed His Wife May Not Have Been An Actual Event And That She May Still Be Alive, Cork O'Connor Travels To Wyoming To Investigate Allegations About The Pilot'S Identity And Is Confronted By A Series Of Deadly Interferences.",Simon And Schuster,336.0,English,2010-07-13,Mystery,9781416556770
The Black Opal,Victoria Holt,3.5,6.0,,,"Abandoned As A Baby, Her Exotic Beauty Prompted Hushed Whispers Of Gypsy Blood. But Lovely Carmel March Remained Shrouded In Mystery.... When Tragedy Struck Her Adopted Home Of Commonwood House, Little Carmel Had Been Bundled Off To Australia. Returning To England As A Young Woman, She Became Haunted By Questions From Her Past, As Well As The Shocking Revelation That She Had Been Rushed From A Murder Scene Those Many Years Ago. Yet She Was Convinced That The Wrong Man Had Been Sentenced For The Crime. Was The Answer Locked Away In Her Childhood Memory--Or In The Dark, Secretive Behavior Of Her Old Childhood Friend, Lucian? And What Fateful Role Did The Opals--Always Present At Crucial Moments Of Her Life--Play? For Only When She Released The Dark Secrets Imprisoned At Commonwood Would She Find The Freedom To Love.... ""Victoria Holt'S Mysteries Are Among The Best."" --Minneapolis Star & Tribune ""The Prolific Miss Holt--.Combines Suspense And Romance With The Master'S Touch."" --Boston Herald",Ivy Books,388.0,English,1994,Mystery,9780449222713
A Case Of Need,"Michael Crichton', 'Jeffrey Hudson",3.0,35.0,,,"A Case Of Need Is Michael Crichton'S Award-Winning Debut Novel, Written Shortly After He Completed His Medical Internship. Set Against The Ever-Building Pressure And Pace Of A Large Boston Medical Center, The Tensions Flare-And Explode-When A Surgical Operation Tragically Ends In Death, Raising Countless Questions. Was It Accidental Malpractice? A Violation Of The Hippocratic Oath? Or Cold-Blooded Murder?",Signet Book,422.0,English,1969,Mystery,9780451183668
The Pale Horse,"Agatha Christie', 'Hugh Fraser",,,,,"The Pale Horse Is A Converted Tudor Inn In An English Village, Inhabited By The Local Witch And An Inane Medium. Mark Easterbrook Thinks Them Harmless Fools Until He Learns About The Gang That Specialises In The Removal Of Rich, Unwanted Relatives.",Harpercollins,,English,2006,Mystery,9780007211654
The Missing Sister,Lucinda Riley,,,,,"From Sunday Times No.1 Bestselling Author Lucinda Riley Comes The Latest Installment In The Epic Multimillion-Selling Series, The Seven Sisters. The Story Of Merope, The Missing Sister, Is Waiting To Be Told . . . Following Georg Hoffman'S Revelation That He May Have Found The Missing Sister, Maia And Ally Discover That All They Have To Go On Is An Address Of A Vineyard In New Zealand, Plus A Drawing Of An Unusual Star-Shaped Emerald Ring. Deciding That Cece, Who Lives In Australia, Is The Closest, They Send Her To Investigate With Her Partner, Chrissie. So Begins A Race Against Time To Identify The Missing Sister, So She Can Join Her Sisters On The Titan To Lay A Wreath At A Spot On The Aegean Sea Where Ally Last Saw Pa Salt'S Boat. It'S A Race That Takes Them Across The Globe, As Mary Mcdougal, The Woman Who Has The Emerald Ring That Can Confirm For Certain If Her Daughter, Mary-Kate, Is The Missing Sister, Has Embarked On A World Tour After The Death Of Her Husband. As Each Sister Takes Their Turn To Trace Her In New Zealand, Canada, England, France And Ireland, The Elusive Mary Manages To Slip Through Their Fingers, And It Seems That She Does Not Want To Be Found...",,576.0,English,2021-04-29,Romance,9781952457234
Mansfield Park,Jane Austen,,,,,"A New York Times Bestselling Author -- In Jane Austen'S Third Published Novel After Sense And Sensibility And Pride And Prejudice, Young Fanny Price Is Sent To Live With Her Wealthy Uncle And Aunt, Sir Thomas And Lady Bertram, At Mansfield Park. Raised Among Her Four Cousins, Fanny -- The Poor Relation -- Often Goes Unobserved In The Household, Making Her A Unique Observer Of The Ethics, Morals, Attitudes And Behavior Of English Society.",Kennebec Large Print Perennial,661.0,English,2010,Romance,9781410429681
Emma,Jane Austen,4.0,10.0,,,Classics With Legible Texts You Can Actually Read At A Fantastic Price.,"Atlantic Publishing, Croxley Green",512.0,English,2012-01-01,Romance,9781908533067
Dare To Love,Carly Phillips,4.0,12.0,,,"She Arouses His Dominant And Protective Instincts And He Will Do Anything To Possess Her … And Does. When Billionaire Ian Dare Gets One Glimpse Of The Sensual And Irresistible Riley Taylor, He Knows That He Must Have Her. But Any Future He Might Have With Riley Means He’Ll Have To Confront His Past—A Past He’D Rather Forget. And That’S Something This Nfl Team Owner Won’T Dare To Do—Not Even For Love.",Cp Publishing,256.0,English,2013-11-18,Romance,9780989311298
Taming My Prince Charming,J. S Cooper,,,,,"When Lola Met Xavier, Prince Of Romerius, She Was Immediately Attracted To His Dark, Handsome Good Looks And Sparkling Green Eyes. She Spent A Whirlwind Weekend With Him And Almost Fell For His Charm, Until He Humiliated Her And She Fled. Lola Wasn'T Prepared To Find Out That Xavier Was Her New Professor And Her New Boss. She Also Wasn'T Prepared For The Sparks That Flew Every Time They Were Together. When Xavier Takes Her On A Work Trip, She Is Shocked When They Are Mobbed By The Paparazzi And Agrees To Go To Romerius With Xavier To Pretend She Is His Fianc�. Only Lola Had No Idea That Xavier Had A Master Plan From The Moment He Met Her. He Wanted A Week To Make Her His, So That He Could Get Her Out Of His System. Only Xavier Had No Idea That Fate Had Another Plan For Him.",Createspace Independent Publishing Platform,0.0,English,2014-08-19,Romance,9781500811174
Simple Gifts,"Judith Mcnaught', 'Jude Deveraux",3.5,4.0,,,4 Heartwarming Christmas Stories.,Simon And Schuster,406.0,English,2001-12,Romance,9780743442237
Twisted Perfection Signed Limited Edition,Abbi Glines,,,,,"This Limited Special Edition Is Signed By The Author. Della Sloane Is Not Your Average Girl. Yearning To Break Free Of Her Dark And Sheltered Past And The Memories Of The Illness That Claimed Her Mother, Della Plans A Solo Road Trip To Experience Real Life On Her Own Terms. But The Trip Is Nearly Cut Short In The Little Beach Town Of Rosemary When She Realizes She Can’T Even Pump Her Own Gas—Until Woods Kerrington Shows Up, More Than Willing To Help Out A Pretty Girl In Need. Woods’S Family Wants Him To Settle Down With A Wealthy Woman In Pearls, But He Can’T Resist This Carefree Girl In Cutoffs Who’S Passing Through Town. A One-Night Stand Should Have Been Enough, But Months Later, Woods Can’T Get The Irresistible Della Out Of His Head. When A Twist Of Fate Brings Della Back To Woods, All Signs Point To Trouble If They Don’T Keep Their Distance. Neither Is Truly Free, And A Relationship Could Destroy Both Of Them. With Their Hearts On The Line, Della Thinks The Safest Bet Is To Walk Away. But Woods Isn’T About To Let That Happen . . .",Simon And Schuster,272.0,English,2013-10-08,Romance,9781476763545
White Hot,Sandra Brown,3.5,10.0,,,"When Her Younger Brother Commits Suicide, Sayre Lynch Returns To Her Hometown For The Funeral And Finds Herself Drawn Into A Web Cast By Her Controlling And Tyrranical Father.",,696.0,English,2005,Romance,9781594130823
A Loving Scoundrel,Johanna Lindsey,4.0,7.0,,,"Danny Grew Up On The Streets Of London As A Pickpocket, But Jeremy Malory Rescues Her And Hires Her As His Upstairs Maid.",,528.0,English,2004,Romance,9780786265114
The Key To Rebecca,Ken Follett,3.5,20.0,,,,,0.0,English,1980,Thriller,9780552117333
The Girl With A Clock For A Heart,Peter Swanson,3.0,18.0,,,"First Love Is Deadly.What If Your College Sweetheart, The Girl Of Your Dreams, Suddenly Disappeared? Twenty Years Later She'S Back, She'S In Trouble And She Says You Are The Only One Who Can Help Her . . .'Very Hard Not To Read In One Sitting.' Alison Flood, Observer 'A Twisty, Sexy, Electric Thrill Ride.' Dennis Lehane'Takes Your Breath Away . . . A Plot That Twists Like A Corkscrew.' Daily Mail'A Well-Plotted, Enjoyably Twisty Debut.' Sunday Times",,352.0,English,2014-09-04,Thriller,9780571301911
The Darkest Evening Of The Year,Dean R. Koontz,3.0,69.0,,,"A Fast-Paced And Emotionally Devastating Suspense Novel From The Bestselling Author Of Velocity,The Husband And The Good Guy",Harpercollins Uk,452.0,English,2008,Thriller,9780007226627
