title,author,rating,voters,price,currency,description,publisher,page_count,language,published_date,genre,ISBN_13
The Anthropology Of Sport And Human Movement,"Robert R. Sands', 'Linda R. Sands",,,,,"The Anthropology Of Sport And Human Movement Represents A Collection Of Work That Reveals And Explores The Often Times Dramatic Relationship Of Our Biology And Culture That Is Inextricably Woven Into A Tapestry Of Movement Patterns. It Explores The Underpinning Of Human Movement, Reflected In Play, Sport, Games And Human Culture From An Evolutionary Perspective And Contemporary Expression Of Sport And Human Movement.",Lexington Books,367.0,English,2012,Sports,9780739129401
Sport For Development,Fred Coalter,,,,,"Sport Is Increasingly Regarded As A Powerful Tool In International Development. In This Comprehensive Introduction To The Area Of ‘Sport-For-Development’, Leading Researcher Fred Coalter Critically Evaluates The Strengths And Weaknesses And Successes And Failures Of Sport-For-Development Policies And Programs. Beginning With An Outline Of The Historical Development Of Policies Of Sport-For-Development, This Book Explores The Objectives That Remain Central To International Sport-For-Development Initiatives, Including Issues Of Defining And Measuring Impacts, The Development Of Self-Efficacy And Leadership Skills, Female Empowerment, Hiv/Aids Awareness And Social Capital. Drawing On A Wealth Of Fieldwork Experience And Empirical Data From The Most Extensive Monitoring And Evaluation Project Ever Undertaken With Sport-For-Development Organisations, This Is An Unparalleled And Fully Integrated Assessment Of Theory, Policy And Practice In International Sport-For-Development. Sport-For-Development: What Game Are We Playing Is Essential Reading For Any Student Or Practitioner With An Interest In Sport-For-Development, Sports Policy Or International Development.",Routledge,224.0,English,2013-05-20,Sports,9781135173623
Research Methods For Sport Studies,"Chris Gratton', 'Ian Jones",,,,,"This Comprehensive And Accessible Textbook Offers A Complete Grounding In Both Qualitative And Quantitative Research Methods For The Sports Studies Student. The Book Offers The Reader A Step-By-Step Guide To The Research Process, From Designing A Research Project, To Collecting And Analysing Data, To Reporting The Research, All Of Which Is Richly Illustrated With Sport-Related Case-Studies And Examples. The Book Covers Key Topics Such As: - Conceptual Models - Qualitative Research Methods - Choosing An Appropriate Research Design - Undertaking A Literature Review - The Key Research Methods Such As Questionnaires, Interviews, Content Analysis And Ethnographic Studies. - Analysing Data, Including An Introduction To Spss, As Well As Guides To Descriptive And Inferential Statistics - Writing A Research Report - The Internet As A Research Tool A Much Needed Book With No Competitor Titles, This Should Be Essential Reading For All Undergraduates In Sports Studies.",Psychology Press,312.0,English,2004,Sports,9780415268776
Health & Fitness,,,,,,,,26.0,English,1985,Health & Fitness,9780642098443
365 Health & Fitness Tips,Magda Antonic,,,,,,Dumont Monte,316.0,English,2001,Health & Fitness,9783770170449
The Active Girls' Health & Fitness Pocket Book,Fiona Marshall,2.0,1.0,,,,,24.0,English,1998,Health & Fitness,9780958542609
Health & Fitness Excellence,Robert K. Cooper,2.0,1.0,,,"A Comprehensive, Vital And Practical Program Of Health And Fitness For Those Who Want To Achieve Their Unlimited Potential.",,548.0,English,1989,Health & Fitness,9780395475898
Life Of Shouty,Neonseon,2.0,1.0,,,Shouty Must Learn How To Fight His Cravings For Junk Food And How To Get Healthy By Following An Exercise And Diet Plan.,Rixkin,34.0,English,2011,Health & Fitness,9780984206919
Back To Basics In Health And Fitness,Julie A. Hayek,2.0,1.0,,,"Health And Fitness Has Been A Struggle For Many People. To Regain Your Confidence, Read This Book. It Covers A Wide Range Of Topics From Weight Control, How To Manage Your Life, How To Plan Your Daily Activities, And Many Other Things. If You Wish To Be Successful In Life, You Must Plan For Success. Failure To Do So Almost Guarantees That You Will Not Be Successful. This Book Is Designed To Help You Achieve Success In Life.--Agatha Thrash, M.D., Preventive Medicine","Teach Services, Inc.",78.0,English,2006,Health & Fitness,9781572584433
Exercise & Fitness,Jim Glenn,,,,,,,96.0,English,1988,Health & Fitness,9780773751644
A History Of Health & Fitness,Roy J. Shephard,,,,,"This Book Provides A Unique And Succinct Account Of The History Of Health And Fitness, Responding To The Growing Recognition Of Physicians, Policy Makers And The General Public That Exercise Is The Most Potent Form Of Medicine Available To Humankind. Individual Chapters Present Information Extending From The Earliest Reaches Of Human History To The Present Day, Arranged In The Form Of 30 Thematic Essays Covering Topics From The Supposed Idyll Of The Hunter-Gatherer Lifestyle And Its Posited Health Benefits To The Evolution Of Health Professionals And The Possible Contribution Of The Olympic Movement To Health And Fitness In Our Current Society. Learning Objectives Are Set For Each Topic, And Although Technical Language Is Avoided As Far As Possible, A Thorough Glossary Explains Any Specialized Terms That Are Introduced In Each Chapter. The Critical Thinking Of The Reader Is Stimulated By A Range Of Questions Arising From The Text Context, And Each Chapter Concludes With A Brief Discussion Of Some Of The More Important Implications For Public Policies On Health And Fitness Today And Into The Future. The Material Will Be Of Particular Interest To Graduate And Undergraduate Students In Public Health, Health Promotion, Health Policy, Kinesiology, Physical Education, But Will Be Of Interest Also To Many Studying Medicine, History And Sociology.",,516.0,English,2018,Health & Fitness,9783319650982
The Candy House,Jennifer Egan,3.5,24.0,,,"Named A Most Anticipated Book Of The Year By Time, Entertainment Weekly, Vogue, Good Housekeeping, Oprah Daily, Glamour, Usa Today, Parade, Bustle, San Francisco Chronicle, The Seattle Times, The Boston Globe, Tampa Bay Times, Buzzfeed, Vulture, And Many More! From One Of The Most Celebrated Writers Of Our Time, A Literary Figure With Cult Status, A ""Sibling Novel"" To Her Pulitzer Prize- And ?Nbcc Award-Winning A Visit From The Goon Squad--An Electrifying, Deeply Moving Novel About The Quest For Authenticity And Meaning In A World Where Memories And Identities Are No Longer Private. The Candy House Opens With The Staggeringly Brilliant Bix Bouton, Whose Company, Mandala, Is So Successful That He Is ""One Of Those Tech Demi-Gods With Whom We'Re All On A First Name Basis."" Bix Is 40, With Four Kids, Restless, Desperate For A New Idea, When He Stumbles Into A Conversation Group, Mostly Columbia Professors, One Of Whom Is Experimenting With Downloading Or ""Externalizing"" Memory. It'S 2010. Within A Decade, Bix'S New Technology, ""Own Your Unconscious""--That Allows You Access To Every Memory You'Ve Ever Had, And To Share Every Memory In Exchange For Access To The Memories Of Others--Has Seduced Multitudes. But Not Everyone. In Spellbinding Interlocking Narratives, Egan Spins Out The Consequences Of Own Your Unconscious Through The Lives Of Multiple Characters Whose Paths Intersect Over Several Decades. Intellectually Dazzling, The Candy House Is Also Extraordinarily Moving, A Testament To The Tenacity And Transcendence Of Human Longing For Real Connection, Love, Family, Privacy And Redemption. In The World Of Egan'S Spectacular Imagination, There Are ""Counters"" Who Track And Exploit Desires And There Are ""Eluders,"" Those Who Understand The Price Of Taking A Bite Of The Candy House. Egan Introduces These Characters In An Astonishing Array Of Narrative Styles--From Omniscient To First Person Plural To A Duet Of Voices, An Epistolary Chapter And A Chapter Of Tweets. If Goon Squad Was Organized Like A Concept Album, The Candy House Incorporates Electronic Dance Music'S More Disjunctive Approach. The Parts Are Titled: Build, Break, Drop. With An Emphasis On Gaming, Portals, And Alternate Worlds, Its Structure Also Suggests The Experience Of Moving Among Dimensions In A Role-Playing Game. The Candy House Is A Bold, Brilliant Imagining Of A World That Is Moments Away. Egan Takes To Stunning New Heights Her ""Deeply Intuitive Forays Into The Darker Aspects Of Our Technology-Driven, Image-Saturated Culture"" (Vogue). The Candy House Delivers An Absolutely Extraordinary Combination Of Fierce, Exhilarating Intelligence And Heart.",Simon And Schuster,352.0,English,2022-04-05,Technology,9781476716763
The Art And Science Of Teaching,Robert J. Marzano,3.0,1.0,,,"Though Classroom Instructional Strategies Should Clearly Be Based On Sound Science And Research, Knowing When To Use Them And With Whom Is More Of An Art. In The Art And Science Of Teaching: A Comprehensive Framework For Effective Instruction, Author Robert J. Marzano Presents A Model For Ensuring Quality Teaching That Balances The Necessity Of Research-Based Data With The Equally Vital Need To Understand The Strengths And Weaknesses Of Individual Students. He Articulates His Framework In The Form Of 10 Questions That Represent A Logical Planning Sequence For Successful Instructional Design: 1. What Will I Do To Establish And Communicate Learning Goals, Track Student Progress, And Celebrate Success? 2. What Will I Do To Help Students Effectively Interact With New Knowledge? 3. What Will I Do To Help Students Practice And Deepen Their Understanding Of New Knowledge? 4. What Will I Do To Help Students Generate And Test Hypotheses About New Knowledge? 5. What Will I Do To Engage Students? 6. What Will I Do To Establish Or Maintain Classroom Rules And Procedures? 7. What Will I Do To Recognize And Acknowledge Adherence And Lack Of Adherence To Classroom Rules And Procedures? 8. What Will I Do To Establish And Maintain Effective Relationships With Students? 9. What Will I Do To Communicate High Expectations For All Students? 10. What Will I Do To Develop Effective Lessons Organized Into A Cohesive Unit? For Classroom Lessons To Be Truly Effective, Educators Must Examine Every Component Of The Teaching Process With Equal Resolve. Filled With Charts, Rubrics, And Organizers, This Methodical, User-Friendly Guide Will Help Teachers Examine And Develop Their Knowledge And Skills, So They Can Achieve That Dynamic Fusion Of Art And Science That Results In Exceptional Teaching And Outstanding Student Achievement.",Ascd,221.0,English,2007-07-15,Education,9781416614975
The Talent Development Planning Handbook,"Donald J. Treffinger', 'Grover C. Young', 'Carole A. Nassab', 'Edwin C. Selby', 'Carol V. Wittig",,,,,"""Gifted Programs Should Be As Innovative, Unique, And Ever-Evolving As The Exceptional Students They Serve. This Comprehensive Handbook Provides The Expert Guidance And Tools Necessary For Shaping A Contemporary, Inclusive Talent Development Program Tailored To Students' Individual Needs And Strengths. Rather Than Imposing A ""One-Size-Fits-All"" Model, This Guide Offers A Flexible Six-Stage Framework For Planning, Implementing, Evaluating, And Enhancing Gifted Programs. The Authors Draw On Current Theory, Research, And More Than 20 Years Of Professional Experience With Schools, Districts, And State Education Agencies To Provide Proven Approaches For Designing New Programs And Reinvigorating Existing Ones. ... Ideal For Gifted Education Coordinators, Administrators, And Special Education Directors, The Talent Development Planning Handbook Covers Best Practices From Leading Experts To Inspire Innovation, Improvement, Growth, And Change For Talent Development That Contributes To The Total School Program.""--Publisher'S Website.",Corwin Press,249.0,English,2008-04-03,Education,9781412959797
"School Phobia, Panic Attacks And Anxiety In Children",Marianna Csoti,,,,,"Many Children Are Challenged By Anxiety At Some Time In Their School Career. Bringing Together Knowledge From Her Years Of Teaching And Parenting, Márianna Csóti Shows How Parents And Professionals Can Help Children Aged Five To Sixteen Move Away From The Negative Thoughts And Behaviour That Contribute To School Phobia. As Well As Tackling Specific Problems Of Bullying, Separation Anxiety, Social Phobia And Panic Attacks, The Author Provides Information On Current Therapies And Medication For The Severely Affected And On What To Do If The Child Regresses. The Advice Can Also Be Used To Help Guard Against Another Sibling Developing School Phobia. This Positive And Practical Book Is Packed With Information And Guidance For Parents, Carers, Teachers And Other Child-Support Professionals, On Dealing Effectively With The Difficulties Of Children Whose Lives Are Being Adversely Affected By This Distressing And Very Real Condition.",Jessica Kingsley Publishers,272.0,English,2003-07-15,Education,9781846424144
Career Development And Counseling,"Steven D. Brown', 'Robert W. Lent",,,,,"Discover Comprehensive Coverage Of Leading Research And Theory In Career Psychology With The Newest Edition Of A Canonical Work The Newly Revised And Thoroughly Updated Third Edition Of Career Development And Counseling Retains Many Features Of The Celebrated Second Edition, Including In-Depth Coverage Of Major Theories Of Career Development, Interventions And Assessment Systems Across The Life Span, And The Roles Of Diversity, Individual Differences, And Social Factors In Career Development. This New Edition Also Covers Essential New Material On Emerging Topics Like: The Future Of Work And Preparing People For Work In The New Economy The Psychology Of Working Theory Working With Older Adults And Retirees Working With The Unemployed And Underemployed Calling, Work Meaning, Career Adaptability, And Volition This Book Illuminates Scientifically Informed Career Practices From An Interdisciplinary Perspective, Engaging Readers With Concrete Strategies And Practical Tips For Working With Clients Of All Kinds. Drawing On Vocational, Industrial, Organizational, And Personality Psychology, Career Development And Counseling Is Ideal For Graduate Students At The Masters And Doctoral Levels In Counseling, Counseling Psychology, Counselor Education, And Educational Psychology.",John Wiley & Sons,848.0,English,2020-12-03,Education,9781119580355
Handbook Of Divorce And Relationship Dissolution,"Mark A. Fine', 'John H. Harvey",,,,,"This Handbook Presents Up-To-Date Scholarship On The Causes And Predictors, Processes, And Consequences Of Divorce And Relationship Dissolution. Featuring Contributions From Multiple Disciplines, This Handbook Reviews Relationship Termination, Including Variations Depending On Legal Status, Race/Ethnicity, And Sexual Orientation. The Handbook Focuses On The Often-Neglected Processes Involved As The Relationship Unfolds, Such As Infidelity, Hurt, And Remarriage. It Also Covers The Legal And Policy Aspects, The Demographics, And The Historical Aspects Of Divorce. Intended For Researchers, Practitioners, Counselors, Clinicians, And Advanced Students In Psychology, Sociology, Family Studies, Communication, And Nursing, The Book Serves As A Text In Courses On Divorce, Marriage And The Family, And Close Relationships.",Psychology Press,696.0,English,2013-12-19,Education,9781317824213
The Formative Assessment Action Plan,"Nancy Frey', 'Douglas Fisher",,,,,"Nancy Frey And Douglas Fisher Reveal How To Create A Failsafe Assessment System That Leads To Purposeful Lessons, Clear Indicators Of Student Understanding, And Forms Of Feedback That Improve Student Performance. --From Publisher Description.",Ascd,163.0,English,2011,Education,9781416611691
The Middle East For Dummies,Craig S. Davis,,,,,"Demystifies The Area'S Culture, Politics, And Religions Explore Middle Eastern History From Ancient To Modern Times Looking To Better Understand The Middle East? This Plain-English Guide Explains The Importance Of The Region, Especially In Light Of Recent Events. You'Ll Meet Its People And Their Leaders, Discover The Differences And Similarities Between Arab And Western Mindsets, And Examine The Wars And Conflicts - Including The Israeli-Palestinian Turmoil - That Led Up To The Current Political Situation. The Dummies Way * Explanations In Plain English * ""Get In, Get Out"" Information * Icons And Other Navigational Aids * Tear-Out Cheat Sheet * Top Ten Lists * A Dash Of Humor And Fun",John Wiley & Sons,408.0,English,2011-03-10,Education,9781118053935
"Introduction To Mediation, Moderation, And Conditional Process Analysis",Andrew F. Hayes,,,,,"Explaining The Fundamentals Of Mediation And Moderation Analysis, This Engaging Book Also Shows How To Integrate The Two Using An Innovative Strategy Known As Conditional Process Analysis. Procedures Are Described For Testing Hypotheses About The Mechanisms By Which Causal Effects Operate, The Conditions Under Which They Occur, And The Moderation Of Mechanisms. Relying On The Principles Of Ordinary Least Squares Regression, Andrew Hayes Carefully Explains The Estimation And Interpretation Of Direct And Indirect Effects, Probing And Visualization Of Interactions, And Testing Of Questions About Moderated Mediation. Examples Using Data From Published Studies Illustrate How To Conduct And Report The Analyses Described In The Book. Of Special Value, The Book Introduces And Documents Process, A Macro For Spss And Sas That Does All The Computations Described In The Book. The Companion Website (Www.Afhayes.Com) Offers Free Downloads Of Process Plus Data Files For The Book'S Examples. Unique Features Include: *Compelling Examples (Presumed Media Influence, Sex Discrimination In The Workplace, And More) With Real Data; Boxes With Sas, Spss, And Process Code; And Loads Of Tips, Including How To Report Mediation, Moderation And Conditional Process Analyses. *Appendix That Presents Documentation On Use And Features Of Process. *Online Supplement Providing Data, Code, And Syntax For The Book'S Examples.",Guilford Press,527.0,English,2013-04-22,Education,9781462511273
"Gaslighting, The Double Whammy, Interrogation And Other Methods Of Covert Control In Psychotherapy And Analysis",Theodore L. Dorpat,,,,,"In Treatment, The Psychotherapist Is In A Position Of Power. Often, This Power Is Unintentionally Abused. While Trying To Embody A Compassionate Concern For Patients, Therapists Use Accepted Techniques That Can Inadvertently Lead To Control, Indoctrination, And Therapeutic Failure. Contrary To The Stated Tradition And Values Of Psychotherapy, They Subtly Coerce Patients Rather Than Respect And Genuinely Help Them. The More Gross Kinds Of Patient Abuse, Deliberate Ones Such As Sexual And Financial Exploitation, Are Expressly Forbidden By Professional Organizations. However, There Are No Regulations Discouraging The More Covert Forms Of Manipulation, Which Are Not Even Considered Exploitative By Many Clinicians. In This Book, Noted Psychiatrist Theo. L. Dorpat Strongly Disagrees. Using A Contemporary Interactional Perspective Dorpat Demonstrates The Destructive Potential Of Manipulation And Indoctrination In Treatment. This Book Is Divided Into Three Parts. Part I Explores The Various Ways Power Can Be Abused. Part Ii Examines Eleven Treatment Cases In Which Covert Manipulation And Control Either Caused Analytic Failure Or Severely Impaired The Treatment Process. Cases Discussed Include The Analyses Of Dora And The Wolf Man By Freud, The Two Analyses Of Mr. Z By Kohut, As Well As Other Published And Unpublished Treatments. An Interactional Perspective Is Used To Examine The Harmful Short- And Long-Term Effects Of Using Indoctrination Methods As Well As To Unravel Conscious And Unconscious Communications Between Therapists And Patients That Can Contribute To Manipulations. Part Iii Shows Readers How To Work Using A Non-Directive, Egalitarian Approach In Both Psychoanalytic Psychotherapy And Psychoanalysis.","Jason Aronson, Incorporated",305.0,English,1996-10-28,Psychology,9781461628606
Homosexualities,Stephen O. Murray,,,,,"Breathtaking In Its Historical And Geographical Scope, This Book Provides A Sweeping Examination Of The Construction Of Male And Female Homosexualities, Stressing Both The Variability Of The Forms Same-Sex Desire Can Take And The Key Recurring Patterns It Has Formed Throughout History. ""[An] Indispensable Resource On Same-Sex Sexual Relationships And Their Social Contexts. . . . Essential Reading."" —Choice ""[P]Romises To Deliver A Lot, And Even More Extraordinarily Succeeds In Its Lofty Aims. . . . [O]Riginal And Refreshing. . . . [A] Sensational Book, Part Of What I See Emerging As A New Commonsense Revolution Within Academe."" —Kevin White, International Gay And Lesbian Review",University Of Chicago Press,521.0,English,2002-06,Psychology,9780226551951
The Interpretation Of Dreams (Hardcover Library Edition),Sigmund Freud,3.5,375.0,,,"First Published In 1899, 'The Interpretation Of Dreams' Written By Sigmund Freud, Presents The Theory Of The Unconscious With Respect To Dream Interpretation And Discusses What Would Later Become The Theory Of The Oedipus Complex. Sigmund Freud Is An Austrian Neurologist And The Founding Father Of Psychoanalysis, A Method For Treating Mental Illness And Also A Theory That Explains Human Behavior. Freud Believed That Events In Our Childhood Hold A Great Impact On Our Adult Lives, Shaping Our Personality. In Creating Psychoanalysis, Freud Designed Therapeutic Techniques Such As The Use Of Free Association And Discovered Transference, Establishing Its Central Role In The Analytic Process. Freud Saw That Man Is At War With Himself And Often Unable To Tolerate Too Much Reality. He Propounded The Theory That Dreams Are The Contraband Representations Of The Beast Within Man, Smuggled Into Awareness During Sleep. In Freudian Interpretation, The Analysis Of Dreams Is The Key To Unlocking The Secrets Of The Unconscious Mind. Top 10 Hardcover Library Books: A Wrinkle In Time (9789389440188) How To Stop Worrying And Start Living (9789387669161) Their Eyes Were Watching God (9789389440577) The Magic Of Believing (9789388118217) Zen In The Art Of Archery (9789354990298) A Cloud By Day, A Fire By Night (9789391181611) Siddhartha By Hermann Hesse (9789387669116) The Richest Man In Babylon (9789354990717) The Book Of Five Rings (9789389440553) The Knowledge Of The Holy (9789389157239) Note: Search By Isbn",,586.0,English,2021-06-10,Psychology,9789354992926
Generative Trance,Stephen Gilligan,,,,,"This Book Describes An Entirely New Way Of Conducting Hypnotherapeutic Interventions - Stephen Gilligan'S Generative Trance. The First Generation Of Trance Work, The Traditional Hypnosis That Still Holds Sway In Most Places, Considers That Both The Conscious Mind And The Unconscious Mind Of The Client Are, To Put It Bluntly, Idiots. So Trance Work Involves First 'Knocking Out' The Conscious Mind And Then Talking To The Unconscious Mind Like A 2-Year Old That Needs To Be Told How To Behave. Milton Erickson Created The Second Generation Of Trance Work. He Approached The Unconscious As Having Creative Wisdom And Each Person As Extraordinarily Unique. Thus, Rather Than Trying To Programme The Unconscious With New Instructions, Erickson Saw Trance As An Experiential Learning State Where A Person'S Own Creative Unconscious Could Generate Healing And Transformation. At The Same Time Erickson, For The Most Part, Carried The Same Low Opinion Of The Conscious Mind. Thus, Ericksonian Hypnosis Looks To Bypass The Conscious Mind With Indirect Suggestions And Dissociation And Depotentiate It With Confusion Techniques.",Crown House Publishing,355.0,English,2012-10-25,Psychology,9781845907839
Nonviolent Communication: A Language Of Life,"Marshall B. Rosenberg', 'Deepak Chopra",5.0,2.0,,,"5,000,000 Copies Sold Worldwide • Translated In More Than 35 Languages What Is Violent Communication? If ""Violent"" Means Acting In Ways That Result In Hurt Or Harm, Then Much Of How We Communicate—Judging Others, Bullying, Having Racial Bias, Blaming, Finger Pointing, Discriminating, Speaking Without Listening, Criticizing Others Or Ourselves, Name-Calling, Reacting When Angry, Using Political Rhetoric, Being Defensive Or Judging Who'S ""Good/Bad"" Or What'S ""Right/Wrong"" With People—Could Indeed Be Called ""Violent Communication."" What Is Nonviolent Communication? Nonviolent Communication Is The Integration Of Four Things: • Consciousness: A Set Of Principles That Support Living A Life Of Compassion, Collaboration, Courage, And Authenticity • Language: Understanding How Words Contribute To Connection Or Distance • Communication: Knowing How To Ask For What We Want, How To Hear Others Even In Disagreement, And How To Move Toward Solutions That Work For All • Means Of Influence: Sharing ""Power With Others"" Rather Than Using ""Power Over Others"" Nonviolent Communication Serves Our Desire To Do Three Things: • Increase Our Ability To Live With Choice, Meaning, And Connection • Connect Empathically With Self And Others To Have More Satisfying Relationships • Sharing Of Resources So Everyone Is Able To Benefit",Puddledancer Press,229.0,English,2015-09-01,Psychology,9781892005540
What Is Intelligence?,James R. Flynn,4.0,4.0,,,"The 'Flynn Effect' Refers To The Massive Increase In Iq Test Scores Over The Course Of The Twentieth Century. Does It Mean That Each Generation Is More Intelligent Than The Last? Does It Suggest How Each Of Us Can Enhance Our Own Intelligence? Professor Flynn Is Finally Ready To Give His Own Views. He Asks What Intelligence Really Is And Gives A Surprising And Illuminating Answer. This Expanded Paperback Edition Includes Three Important New Essays. The First Contrasts The Art Of Writing Cognitive History With The Science Of Measuring Intelligence And Reports Data. The Second Outlines How We Might Get A Complete Theory Of Intelligence, And The Third Details Flynn'S Reservations About Gardner'S Theory Of Multiple Intelligences. A Fascinating Book That Bridges The Gulf Separating Our Minds From Those Of Our Ancestors A Century Ago, And Makes An Important Contribution To Our Understanding Of Human Intelligence.",Cambridge University Press,,English,2007-08-27,Psychology,9781139467049
Fun Home,Alison Bechdel,4.0,1502.0,,,"A Memoir Done In The Form Of A Graphic Novel By A Cult Favorite Comic Artist Offers A Darkly Funny Family Portrait That Details Her Relationship With Her Father--A Funeral Home Director, High School English Teacher, And Closeted Homosexual.",Houghton Mifflin Harcourt,248.0,English,2007,Psychology,9780618871711
Emotional Intelligence,Daniel Goleman,3.5,3.0,,,"#1 Bestseller • The Groundbreaking Book That Redefines What It Means To Be Smart, With A New Introduction By The Author “A Thoughtfully Written, Persuasive Account Explaining Emotional Intelligence And Why It Can Be Crucial.”—Usa Today Everyone Knows That High Iq Is No Guarantee Of Success, Happiness, Or Virtue, But Until Emotional Intelligence, We Could Only Guess Why. Daniel Goleman'S Brilliant Report From The Frontiers Of Psychology And Neuroscience Offers Startling New Insight Into Our “Two Minds”—The Rational And The Emotional—And How They Together Shape Our Destiny. Drawing On Groundbreaking Brain And Behavioral Research, Goleman Shows The Factors At Work When People Of High Iq Flounder And Those Of Modest Iq Do Surprisingly Well. These Factors, Which Include Self-Awareness, Self-Discipline, And Empathy, Add Up To A Different Way Of Being Smart—And They Aren’T Fixed At Birth. Although Shaped By Childhood Experiences, Emotional Intelligence Can Be Nurtured And Strengthened Throughout Our Adulthood—With Immediate Benefits To Our Health, Our Relationships, And Our Work. The Twenty-Fifth-Anniversary Edition Of Emotional Intelligence Could Not Come At A Better Time—We Spend So Much Of Our Time Online, More And More Jobs Are Becoming Automated And Digitized, And Our Children Are Picking Up New Technology Faster Than We Ever Imagined. With A New Introduction From The Author, The Twenty-Fifth-Anniversary Edition Prepares Readers, Now More Than Ever, To Reach Their Fullest Potential And Stand Out From The Pack With The Help Of Ei.",National Geographic Books,0.0,English,2006-09-26,Psychology,9780553804911
The Art Of Loving,Erich Fromm,4.0,6.0,,,Renowned Psychoanalyst Erich Fromm Has Helped Generations Of Men And Women Achieve Rich And Productive Lives By Developing Their Capacity To Love. This Centennial Edition Of His Most Enduring Work Salutes The Valuable Lessons That Are Fromm'S Legacy.,A&C Black,142.0,English,2000-04-01,Psychology,9780826412607
What If?,Randall Munroe,4.0,3779.0,,,"The Creator Of The Incredibly Popular Webcomic Xkcd Presents His Heavily Researched Answers To His Fans' Oddest Questions, Including “What If I Took A Swim In A Spent-Nuclear-Fuel Pool?” And “Could You Build A Jetpack Using Downward-Firing Machine Guns?” 100,000 First Printing.",Houghton Mifflin Harcourt,321.0,English,2014,Humor,9780544272996
The Howling Ghost,Christopher Pike,4.0,2.0,,,"Playing With Her Little Brother By The Ocean, Cindy Is Stunned When Neil Is Kidnapped By A Ghost And Everyone Thinks That He Really Drowned, But A Newspaper Report About Local Spook Activity Compels Cindy To Get Her Brother Back.",Simon And Schuster,128.0,English,2014-08-05,Horror,9781481410526
The Stand,Stephen King,4.0,3487.0,,,"For Use In Schools And Libraries Only. A Monumentally Devastating Plague Leaves Only A Few Survivors Who, In A Desert World, Experience Dreams Of Good And Evil In Confrontation And, Through Their Choices, Move Toward An Actual Confrontation.",Signet,817.0,English,1980-01-01,Horror,9780451160959
Deeply Odd,Dean Ray Koontz,5.0,1.0,,,"Odd Thomas Journeys Through California And Nevada After A Vision About The Murders Of Three Children, An Effort Throughout Which He Befriends A Series Of Eccentric Helpers Who Become Allies In A Battle Against A Sociopath And A Network Of Killers.",Bantam,354.0,English,2013,Horror,9780553807738
Ring,Kōji Suzuki,3.5,15.0,,,"Stunning, Cutting-Edge Thriller With A Chilling Supernatural Twist From Japan'S Stylish New Literary Star. Asakawa Is A Hardworking Journalist Who Has Climbed His Way Up From Local-News Beat Reporter To Writer For His Newspaper'S Weekly Magazine. A Chronic Workaholic, He Doesn'T Take Much Notice When His Seventeen-Year-Old Niece Dies Suddenly -- Until A Chance Conversation Reveals That Another Healthy Teenager Died At Exactly The Same Time, In Chillingly Similar Circumstances. Sensing A Story, Asakawa Begins To Investigate, And Soon Discovers That This Strange Simultaneous Sudden-Death Syndrome Also Affected Another Two Teenagers. Exactly One Week Before Their Mysterious Deaths The Four Teenagers All Spent The Night At A Leisure Resort In The Same Log Cabin. When Asakawa Visits The Resort, The Mystery Only Deepens. Particular Videotape. When He Watches It, Instead Of A Movie He Finds An Odd Collection Of Disparate Images With A Portentous Message At The End: Those Who Have Viewed These Images Are Fated To Die At This Exact Hour One Week From Now. Asakawa Finds Himself In A Race Against Time -- He Has Only Seven Days To Find The Cause Of The Teenagers' Deaths Before It Finds Him. The Hunt Puts Him On The Trail Of An Apocalyptic Power That Will Force Asakawa To Choose Between Saving His Family And Saving Civilization.",,284.0,English,2004,Horror,9780007178841
Tales From The Shadowhunter Academy,"Cassandra Clare', 'Sarah Rees Brennan', 'Maureen Johnson', 'Robin Wasserman",4.0,6.0,,,"Collects Short Stories Chronicling Simon'S Journey From Amnesia To Ascension, As He Works To Regain His Lost Life While Attending The Shadowhunter Academy.",Simon And Schuster,672.0,English,2016-11-15,Horror,9781481443258
30 Days Of Night,Steve Niles,3.5,39.0,,,"During Its Thirty Days And Nights Of Darkness, Barrow, Alaska, Endures An Attack By A Band Of Vampires That Only The Husband-And-Wife Sheriff Team Of The Small Town Can Stand Against. Contains Adult Content.",Idw Publishing,64.0,English,2007,Horror,9780971977556
Monster Blood,R. L. Stine,3.5,13.0,,,"When Evan And Andy Find A Dusty Can Labeled ""Monster Blood"" In Weird Aunt Kathryn'S House, They Make The Mistake Of Opening It.",Scholastic Paperbacks,148.0,English,1992,Horror,9780590453677
